City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
12,Atuona,PF,77.77,clear sky,-9.8,-139.0333,Villa Enata
17,Lorengau,PG,81.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
19,Huntsville,US,82.27,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel
32,College,US,77.58,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
34,Biltine,TD,92.41,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
35,West Point,US,88.09,scattered clouds,33.6076,-88.6503,Hampton Inn & Suites West Point
36,Platanos,GR,76.08,scattered clouds,37.6667,21.6167,Hotel Kronio
37,Cabo San Lucas,MX,87.19,broken clouds,22.8909,-109.9124,Vista Roof Restaurant
42,Dingle,PH,79.21,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
51,Kapaa,US,82.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Porbandar,IN,84.58,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
56,Butaritari,KI,82.4,few clouds,3.0707,172.7902,Isles Sunset Lodge
59,Vanimo,PG,77.85,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
60,Caucaia,BR,81.03,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
65,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
80,Khao Wong,TH,75.92,scattered clouds,16.7001,104.0902,ลำน้ำยังรีสอร์ท
81,Lazaro Cardenas,MX,82.76,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
82,Bubaque,GW,79.09,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
84,Ashland,US,80.56,clear sky,40.8167,-82.2665,SureStay
88,Hilo,US,87.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
89,Gandiaye,SN,87.91,overcast clouds,14.2333,-16.2667,Mairie de Gandiaye
91,Auki,SB,79.05,overcast clouds,-8.7676,160.7034,Auki Motel
92,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
93,Tutoia,BR,77.77,overcast clouds,-2.7619,-42.2744,Pousada Guará's
94,Barinas,VE,80.64,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
96,Niono,ML,86.29,light rain,14.2526,-5.993,Hôtel Campement
97,Agar,IN,83.62,overcast clouds,23.7,76.0167,Bherav Mandir
100,Los Algarrobos,PA,82.81,scattered clouds,8.5,-82.4333,Waterfall Hostel
105,Gharo,PK,86.22,scattered clouds,24.7424,67.5856,Fotis Lodge
110,Santa Rosa,PH,84.18,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
112,Tomigusuku,JP,77.14,broken clouds,26.185,127.675,Hotel Gran View Okinawa
115,Contamana,PE,87.67,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
117,Tagusao,PH,80.01,scattered clouds,9.1924,117.8141,Green Villa beach resort
125,Kahului,US,81.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
127,Bose,IT,78.39,scattered clouds,45.4612,8.0137,Locanda Borgo Antico
128,Kavaratti,IN,81.82,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
134,Kavieng,PG,82.62,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
139,Navalmoral De La Mata,ES,86.95,broken clouds,39.8916,-5.5406,Hotel Moya S A
142,Eyl,SO,77.7,few clouds,7.9803,49.8164,Amiin Hotel
149,Salalah,OM,82.9,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
154,Alofi,NU,78.48,light rain,-19.0595,-169.9187,Taloa Heights
155,Jalu,LY,79.95,clear sky,29.0331,21.5482,صاحبة الفخامة
158,Manokwari,ID,78.46,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
160,Yavatmal,IN,79.66,overcast clouds,20.4,78.1333,Palash Inn
162,Faanui,PF,80.33,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
169,Camocim,BR,76.93,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
182,Sinnamary,GF,77.61,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
185,Bougouni,ML,77.72,light rain,11.417,-7.479,Non Stop
189,Maracacume,BR,77.65,overcast clouds,-2.0428,-45.9592,Hotel Ramos
193,Broome,US,77.36,broken clouds,42.2506,-75.833,Chenango Valley State Park
196,Aklavik,CA,75.72,broken clouds,68.2191,-135.0107,Aklavik Inn
197,Axim,GH,76.15,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
198,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
201,Zhanaozen,KZ,76.21,broken clouds,43.3,52.8,K.korabay 28A
205,Morant Bay,JM,81.72,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
207,Hithadhoo,MV,82.13,overcast clouds,-0.6,73.0833,Scoop Guest House
208,Bethel,US,86.54,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
214,Hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
218,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
219,Pakxan,LA,75.15,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
